first_name,last_name,company_name,email,phone,address,website,title,linkedin
,,A D McClay & Co,,02871345666,"1 Limavady Road, Waterside, Londonderry, BT47 6JU",,"Managing Partner",
,,Babingtons,,02871310600,"9 Limavady Road, Londonderry, BT47 6JU",,"Managing Partner",
,,Barr & Co.,,02871264230,"57 Clarendon Street, Londonderry, BT48 7ER",,"Managing Partner",
,,Caldwell & Robinson,,028 71261334,"Artillery Chambers, 10-12 Artillery Street, Londonderry, BT486RG",www.caldwellrobinson.com,"Managing Partner",
,,Flanagan & Co,,028 7134 2184,"11 Limavady Road, Derry - Londonderry, BT47 6JU",,"Managing Partner",
,,Hasson & Co,,02871266818,"39-41 Clarendon Street, Londonderry, BT48 7ER",hassonlaw.co.uk,"Managing Partner",
,,John Fahy,,02871308664,"Northside Village Centre, Glengalliagh Road, Londonderry, BT488NN",johnfahysolicitors.com,"Managing Partner",
,,Kelly & Corr,,028 7126 3429,"65 Clarendon Street, Londonderry, BT48 7ER",,"Managing Partner",
,,Law Centre NI,,028 7126 2433,"9 Clarendon Street, Londonderry, BT48 7EP",,"Managing Partner",
,,McGee Solicitors,,028 71 229 343,"73 Clarendon Street Derry / Londonderry BT48 7ER",mcgeesolicitors.co.uk,"Managing Partner",
,,Clarendon Legal,,"48 Clarendon Street, Derry, Northern Ireland BT48 7ET",clarendonlegal.com,"Managing Partner",
,,Dickson & McNulty,,028 7134 1864,"50 Spencer Rd, Derry / Londonderry, BT47 6AA",dickson-mcnulty.co.uk,"Managing Partner",
,,MMP Solicitors,office@mmp.legal,,"Derry, Northern Ireland",mmp.legal,"Managing Partner",
,,McGeady Molloy,,,,"Derry, Northern Ireland",mcgeadymolloy.co.uk,"Managing Partner",
,,SPS McCartney & Casey,,,,"Derry, Northern Ireland",spsderry.com,"Managing Partner",
,,Diamond Heron Solicitors,,,,"Belfast, Northern Ireland",,"Managing Partner",
,,O'Hare Solicitors,,,,"Belfast, Northern Ireland",oharesolicitors.com,"Managing Partner",
,,Arthur Cox LLP,,,,"Belfast, Northern Ireland",arthurcox.com,"Partner",
,,Murphy Solicitors,,028 90 365595,,"Belfast, Northern Ireland",murphysolicitors.co.uk,"Managing Partner",
,,MKB Law,info@mkblaw.co.uk,+44 (0)28 9024 2450,"14-18 Great Victoria Street, Belfast, BT2 7BA",mkblaw.co.uk,"Partner",
,,McCartan Turkington Breen,,,,"Belfast, Northern Ireland",mtb-law.co.uk,"Partner",
,,Madden & Finucane,,,,"Belfast, Northern Ireland",madden-finucane.com,"Partner",
,,Thompsons Solicitors NI,,,,"4th Floor, City Exchange 11-13, Belfast, Northern Ireland",thompsonssolicitors-ni.com,"Partner",
,,O'Reilly Stewart,,,,"Belfast, Northern Ireland",oreillystewart.com,"Partner",
,,P.A. Duffy Solicitors,,028 8772 2102,,"Belfast, Northern Ireland",paduffy-solicitors.com,"Managing Partner",
,,C.K. Rafferty Solicitors,,,,"Armagh, Northern Ireland",,"Managing Partner",
,,Andrea Reid Solicitors,,,,"Downpatrick, Northern Ireland",,"Managing Partner",
,,McGale Kelly,,,,"Omagh, Northern Ireland",,"Managing Partner",
,,Fahy Corrigan,,,,"Enniskillen, Northern Ireland",,"Managing Partner",
,,G R Ingram & Co,,,,"Craigavon, Northern Ireland",,"Managing Partner",
,,O'Rourke Reid Law Firm,,,,"Belfast, Northern Ireland",,"Partner",
,,Richard Barbour & Company,,,,"Belfast, Northern Ireland",,"Partner",
,,King & Boyd,,,,"Downpatrick, Northern Ireland",,"Partner",
,,Carson McDowell LLP,,,,"Belfast, Northern Ireland",,"Partner",
,,D W F Northern Ireland LLP,,,,"Belfast, Northern Ireland",,"Partner",
,,Tiernan Solicitors,,,,"Newry, Northern Ireland",,"Managing Partner",
,,Murlands Solicitors,,,,"Belfast, Northern Ireland",,"Managing Partner",
,,Hunt Solicitors,,,,"Belfast, Northern Ireland",,"Managing Partner",
,,Anderson Irwin,,,,"Antrim, Northern Ireland",,"Managing Partner",
,,Burns & Co Solicitors,,,,"Belfast, Northern Ireland",,"Managing Partner",
