business_name,contact_name,mobile,trade_type,location,rating,review_count
GC Electrical,GC Electrical,07887 401135,electrical contractor,Belfast,5,73
David Scott and Son,David Scott,07787 561436,bathroom specialist,Belfast,5,18
Cph joinery & interior,Cph joinery & interior,07701 355845,bespoke joinery,Belfast,5,15
The Shower Doctor,The Shower,07845 587908,bathroom specialist,Derry,5,8
MD Pro Contracts,MD Pro Contracts,07858 872527,roofing contractor,Belfast,4.9,330
Heating Solutions NI,Heating Solutions,07704 435095,heating engineer,Belfast,4.8,200
Belfast Kitchen Company,Belfast Kitchen,07711 665015,kitchen fitter,Belfast,4.7,18
McCaffrey Kitchens,McCaffrey Kitchens,07594 989849,kitchen fitter,Derry,4.6,18
EMD Plumbing & Heating | Gas & Oil,Plumbing,07706 205959,heating engineer,Derry,4.2,33
The Roof Doctor,The Roof,07542 389977,roofing contractor,Derry,4.2,10
