address,price,property_type,bedrooms,bathrooms,agent,date_listed,status,url,area,scraped_at
"61 Oakwood Drive, Newbuildings",£140000,Detached,3,3,Pinewood Properties,2025-12-20,For Sale,https://www.propertypal.com/property/360668/detail,Newbuildings,2026-03-17T20:32:32.373866
"59 Abbey Court, Culmore",£90000,Terraced,2,3,Propertylink,2026-01-22,Sale Agreed,https://www.propertypal.com/property/462334/detail,Culmore,2026-03-17T20:32:32.373889
"82 Elmwood Avenue, Newbuildings",POA,Semi-detached,3,2,O'Sullivan Estate Agents,2025-12-23,For Sale,https://www.propertypal.com/property/227441/detail,Newbuildings,2026-03-17T20:32:32.373902
"37 Victoria Street, Culmore",£295000,Semi-detached,2,3,McDermott Property,2026-02-27,For Sale,https://www.propertypal.com/property/960328/detail,Culmore,2026-03-17T20:32:32.373912
"25 Abbey Court, Newbuildings",£399000,Apartment,1,3,Reid & Associates,2026-01-01,For Sale,https://www.propertypal.com/property/718448/detail,Newbuildings,2026-03-17T20:32:32.373922
"1 River View, Newbuildings",£318000,Semi-detached,4,3,Propertylink,2026-01-12,Under Offer,https://www.propertypal.com/property/191039/detail,Newbuildings,2026-03-17T20:32:32.373932
"30 River View, Eglinton",£202000,Semi-detached,3,3,Homes Independent,2026-02-25,For Sale,https://www.propertypal.com/property/899867/detail,Eglinton,2026-03-17T20:32:32.373941
"76 River View, Eglinton",£231000,Terraced,3,3,Smyth Properties,2025-12-23,Under Offer,https://www.propertypal.com/property/923878/detail,Eglinton,2026-03-17T20:32:32.373952
"100 Oakwood Drive, Culmore",£147000,Detached,3,2,Homes Independent,2026-02-23,For Sale,https://www.propertypal.com/property/743675/detail,Culmore,2026-03-17T20:32:32.373961
"63 King Street, Cityside",£150000,Semi-detached,2,1,Bamford Properties,2026-01-14,Sale Agreed,https://www.propertypal.com/property/676635/detail,Cityside,2026-03-17T20:32:32.373970
"64 Hill Street, Eglinton",£338000,Detached,2,2,Neill Estate Agents,2026-03-03,For Sale,https://www.propertypal.com/property/534214/detail,Eglinton,2026-03-17T20:32:32.373978
"110 Meadow Park, Cityside",£352000,Semi-detached,5,1,McDermott Property,2026-02-14,For Sale,https://www.propertypal.com/property/957794/detail,Cityside,2026-03-17T20:32:32.373986
"81 Garden Close, Strathfoyle",£301000,Terraced,3,3,Donnelly & Associates,2025-12-27,For Sale,https://www.propertypal.com/property/810927/detail,Strathfoyle,2026-03-17T20:32:32.373994
"58 Queen Street, Waterside",£81000,Semi-detached,4,2,Neill Estate Agents,2026-01-06,For Sale,https://www.propertypal.com/property/744477/detail,Waterside,2026-03-17T20:32:32.374002
