property_url,address,postcode,area,asking_price,bedrooms,property_type,current_agent,days_on_market,date_listed,last_updated,last_price_change_date,price_change_notes,photo_quality,description_quality,vendor_motivation_notes,source_date,source_start_url,notes
https://www.propertypal.com/6-clonmakane-court-waterside-derry-lonndonderry-derry-londonderry/1079572,"6 Clonmakane Court, Waterside, Derry - Lonndonderry, Derry / Londonderry, BT47 6BZ",BT47 6BZ,Derry / Londonderry,132000,3,3 Bed End-terrace House,Robert Quigley Estate Agents,,,2026-05-28,,"{""difference"": null, ""priceOnApplication"": false, ""publishedOnAwp"": true, ""published"": true, ""timeModified"": ""2026-05-28T17:06:20+0100"", ""price"": 132000, ""status"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousStatus"": null, ""previousPrice"": null, ""previousPublished"": false, ""statusChange"": true, ""priceChange"": false, ""publishedChange"": true, ""publishedOnAwpChange"": true, ""differencePercentage"": null, ""pricePrefix"": ""Price"", ""priceSuffix"": null}",average,average,,2026-05-28,https://www.propertypal.com/property-for-sale/bt47,Apify PropertyPal scrape; human verify before outreach
https://www.propertypal.com/5-lettermire-mews-claudy/1079562,"5 Lettermire Mews, Claudy, BT47 3FG",BT47 3FG,Claudy,174950,3,3 Bed Semi-detached House,Daniel Henry,,,2026-05-28,,"{""difference"": null, ""priceOnApplication"": false, ""publishedOnAwp"": true, ""published"": true, ""timeModified"": ""2026-05-28T16:51:38+0100"", ""price"": 174950, ""status"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousStatus"": null, ""previousPrice"": null, ""previousPublished"": false, ""statusChange"": true, ""priceChange"": false, ""publishedChange"": true, ""publishedOnAwpChange"": true, ""differencePercentage"": null, ""pricePrefix"": ""Price"", ""priceSuffix"": null}",weak,average,,2026-05-28,https://www.propertypal.com/property-for-sale/bt47,Apify PropertyPal scrape; human verify before outreach
https://www.propertypal.com/25-shearwater-way-londonderry/1079333,"25 Shearwater Way, Londonderry, BT47 6LF",BT47 6LF,Londonderry,169950,4,4 Bed Semi-detached House,Homepage Estate Agents,,,2026-05-27,,"{""difference"": null, ""priceOnApplication"": false, ""publishedOnAwp"": true, ""published"": true, ""timeModified"": ""2026-05-27T22:00:56+0100"", ""price"": 169950, ""status"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousStatus"": null, ""previousPrice"": null, ""previousPublished"": false, ""statusChange"": true, ""priceChange"": false, ""publishedChange"": true, ""publishedOnAwpChange"": true, ""differencePercentage"": null, ""pricePrefix"": ""Price"", ""priceSuffix"": null}",average,average,,2026-05-28,https://www.propertypal.com/property-for-sale/bt47,Apify PropertyPal scrape; human verify before outreach
https://www.propertypal.com/8-bridgewater-derry/1079284,"8 Bridgewater, Derry, BT47 6YA",BT47 6YA,Derry,375000,5,5 Bed Detached House,Oakland Estate Agents,,,2026-05-28,,"{""difference"": null, ""priceOnApplication"": false, ""publishedOnAwp"": true, ""published"": true, ""timeModified"": ""2026-05-27T16:22:43+0100"", ""price"": 375000, ""status"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousStatus"": null, ""previousPrice"": null, ""previousPublished"": false, ""statusChange"": true, ""priceChange"": false, ""publishedChange"": true, ""publishedOnAwpChange"": true, ""differencePercentage"": null, ""pricePrefix"": ""Guide Price"", ""priceSuffix"": null}",average,average,,2026-05-28,https://www.propertypal.com/property-for-sale/bt47,Apify PropertyPal scrape; human verify before outreach
https://www.propertypal.com/43-ashburn-avenue-kilfennnan-lderry/1079187,"43 Ashburn Avenue, Kilfennnan, L'Derry, BT47 5QE",BT47 5QE,L'Derry,249950,4,4 Bed Semi-detached Chalet Bungalow,Paul O'Keefe Estate Agents,,,2026-05-27,,"{""difference"": null, ""priceOnApplication"": false, ""publishedOnAwp"": true, ""published"": true, ""timeModified"": ""2026-05-27T13:38:22+0100"", ""price"": 249950, ""status"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousStatus"": null, ""previousPrice"": null, ""previousPublished"": false, ""statusChange"": true, ""priceChange"": false, ""publishedChange"": true, ""publishedOnAwpChange"": true, ""differencePercentage"": null, ""pricePrefix"": ""Offers Over"", ""priceSuffix"": null}",average,average,,2026-05-28,https://www.propertypal.com/property-for-sale/bt47,Apify PropertyPal scrape; human verify before outreach
https://www.propertypal.com/5-keery-park-magheramason-derrylondonderry/1064767,"5 Keery Park, Magheramason, Derry/Londonderry, BT47 2TD",BT47 2TD,Derry/Londonderry,315000,4,4 Bed Detached House with garage,James Gorman Property,,,2026-03-30,,"{""difference"": 0, ""priceOnApplication"": false, ""publishedOnAwp"": true, ""published"": true, ""timeModified"": ""2026-03-23T21:58:47+0000"", ""price"": 315000, ""status"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousStatus"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousPrice"": 315000, ""previousPublished"": true, ""statusChange"": false, ""priceChange"": false, ""publishedChange"": false, ""publishedOnAwpChange"": false, ""differencePercentage"": 0, ""pricePrefix"": ""Offers Around"", ""priceSuffix"": null}; {""diff",average,average,,2026-05-28,https://www.propertypal.com/property-for-sale/bt47,Apify PropertyPal scrape; human verify before outreach
https://www.propertypal.com/23-oak-country-green-waterside-lderry/1078315,"23 Oak Country Green, Waterside, L'Derry, BT47 6FU",BT47 6FU,L'Derry,310000,3,3 Bed Detached Bungalow,Pauline Elliott Estate Agents,,,2026-05-26,,"{""difference"": null, ""priceOnApplication"": false, ""publishedOnAwp"": true, ""published"": true, ""timeModified"": ""2026-05-25T18:19:15+0100"", ""price"": 310000, ""status"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousStatus"": null, ""previousPrice"": null, ""previousPublished"": false, ""statusChange"": true, ""priceChange"": false, ""publishedChange"": true, ""publishedOnAwpChange"": true, ""differencePercentage"": null, ""pricePrefix"": ""Asking Price"", ""priceSuffix"": null}",average,average,,2026-05-28,https://www.propertypal.com/property-for-sale/bt47,Apify PropertyPal scrape; human verify before outreach
https://www.propertypal.com/croc-na-rua-1-woodland-drive-dernaflaw-dungiven/1078546,"Croc Na Rua, 1 Woodland Drive, Dernaflaw, Dungiven, BT47 4JY",BT47 4JY,Dungiven,325000,4,4 Bed Detached House,P. McDermott Property & Mortgages,,,2026-05-26,,"{""difference"": null, ""priceOnApplication"": false, ""publishedOnAwp"": true, ""published"": true, ""timeModified"": ""2026-05-22T16:03:06+0100"", ""price"": 325000, ""status"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousStatus"": null, ""previousPrice"": null, ""previousPublished"": false, ""statusChange"": true, ""priceChange"": false, ""publishedChange"": true, ""publishedOnAwpChange"": true, ""differencePercentage"": null, ""pricePrefix"": ""Offers Around"", ""priceSuffix"": null}",average,average,,2026-05-28,https://www.propertypal.com/property-for-sale/bt47,Apify PropertyPal scrape; human verify before outreach
https://www.propertypal.com/5-rockport-park-limavady-road-lderry/1077537,"5 Rockport Park, Limavady Road, L'Derry, BT47 6JQ",BT47 6JQ,L'Derry,295000,3,3 Bed Detached Bungalow,Daniel Henry,,,2026-05-27,,"{""difference"": null, ""priceOnApplication"": false, ""publishedOnAwp"": true, ""published"": true, ""timeModified"": ""2026-05-18T16:10:57+0100"", ""price"": 295000, ""status"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousStatus"": null, ""previousPrice"": null, ""previousPublished"": false, ""statusChange"": true, ""priceChange"": false, ""publishedChange"": true, ""publishedOnAwpChange"": true, ""differencePercentage"": null, ""pricePrefix"": ""Price"", ""priceSuffix"": null}",average,average,,2026-05-28,https://www.propertypal.com/property-for-sale/bt47,Apify PropertyPal scrape; human verify before outreach
https://www.propertypal.com/1-garrymore-place-strathfoyle-derry/1077536,"1 Garrymore Place, Strathfoyle, Derry, BT47 6XH",BT47 6XH,Derry,175000,4,4 Bed Semi-detached House,Daniel Henry,,,2026-05-27,,"{""difference"": null, ""priceOnApplication"": false, ""publishedOnAwp"": true, ""published"": true, ""timeModified"": ""2026-05-18T16:10:56+0100"", ""price"": 175000, ""status"": {""key"": ""forSale"", ""text"": ""For sale""}, ""previousStatus"": null, ""previousPrice"": null, ""previousPublished"": false, ""statusChange"": true, ""priceChange"": false, ""publishedChange"": true, ""publishedOnAwpChange"": true, ""differencePercentage"": null, ""pricePrefix"": ""Price"", ""priceSuffix"": null}",average,average,,2026-05-28,https://www.propertypal.com/property-for-sale/bt47,Apify PropertyPal scrape; human verify before outreach
