name,category,phone,address,location,rating,review_count,website,place_id
Bangor mobiles,mobile mechanic,07788 217944,"4 Castle St, Bangor BT20 4ST, UK","Bangor, Northern Ireland",4.9,320,,ChIJU2pNsxKfYUgRGYlTOxJtghg
Iva Michalak Photography,freelance photographer,07823 779224,"4 Lewis Dr, Belfast BT4 1EN, UK","Belfast, Northern Ireland",5,192,,ChIJB04zJqAJYUgRMEXhlZR9ZhE
Louise Gallagher Curly Hair Specialist | Wavy / Straight Hair Expert,mobile hairdresser,07815 204489,"Mckibbin House, Eastbank Rd, Carryduff, Belfast BT8 8BD, UK","Holywood, Northern Ireland",4.9,157,https://facebook.com/louisegallagherhairdressingcarryduff,ChIJdaXbQfAOYUgRJ1HefF9qgdI
SD Catering,catering service,07715 392022,"203 Shankill Rd, Belfast BT13 1FT, UK","Belfast, Northern Ireland",4.3,155,https://m.facebook.com/SDCATERERS,ChIJq6qqqg8IYUgRhXM5oAk-KMs
Diamond Dogs,dog groomer,07411 858845,"317 Woodstock Rd, Belfast BT6 8PT, UK","East Belfast, Northern Ireland",4.6,150,,ChIJDzyhvg8JYUgRfXqz7GXG5tE
Happy Catz & Little Pawz Pet Hotel,pet sitting,07568 599990,"26 Ballymoney Rd, Newtownards BT23 4TG, UK","Bangor, Northern Ireland",4.5,141,https://www.facebook.com/groups/HappyCatz/,ChIJ9wiTQrkKYUgRTi6t_yoWU_I
Car Valet Belfast,mobile car wash,07856 560430,"24 Barbour Gardens, Dunmurry, Belfast BT17 9AB, UK","Belfast, Northern Ireland",5,130,,ChIJ59PGYQcGYUgRLRNo5fM8zdA
Wash My Ride Car Wash & Valeting Centre,mobile car wash,07743 177150,"107a Bloomfield Rd S, Bangor BT19 7HR, UK","Bangor, Northern Ireland",4.4,121,https://www.facebook.com/washmyride08,ChIJk3u7FPF1YUgRw6eW1FeNZmA
The Compound Room,personal trainer,07724 403227,"Unit C4, 9 Ferguson Dr, Lisburn BT28 2EX, UK","Lisburn, Northern Ireland",5,113,https://www.facebook.com/The-Compound-Room-843287392464180,ChIJS-qsRYUDYUgR6QOBss8cSjE
Ashvale Landscapes,gardening service,07889 352808,"11 Old Ballynahinch Rd, Lisnastrean, Lisburn BT27 5PE, UK","Lisburn, Northern Ireland",4.5,112,,ChIJS7bUABYFYUgRe7bolIpvY3M
