name,category,phone,address,rating,reviews,website,score
Maguire dental care Waterside,dentist,028 7134 4529,"7 Ebrington Terrace, Londonderry BT47 6JS, UK",4.4,15,https://www.facebook.com/maguiredental/,8
Aiken Dental Surgery,dentist,028 7134 3543,"4A Woodburn Park, Londonderry BT47 5PS, UK",3.7,28,NONE,10
Great James Street Dental,dentist,028 7136 1940,"16 Great James St, Londonderry BT48 7DA, UK",4.6,9,NONE,10
Clarendon Dental Surgery,dentist,028 7126 3397,"13 Clarendon St, Londonderry BT48 7EP, UK",5,8,NONE,10
Waterside Dental Surgery,dentist,028 7131 1333,"Spencer House, 14-22 Spencer Rd, Londonderry BT47 6QA, UK",5,1,NONE,10
Peter A Smith,dentist,028 7126 4155,"1 Sydney Terrace, Londonderry BT48 7DQ, UK",4.1,17,NONE,10
The Family Practice,dentist,028 7126 4155,"1 Sydney Terrace, Londonderry BT48 7DQ, UK",5,3,NONE,10
Dental Craft dental lab,dentist,028 7134 2425,"23 Simpsons Brae, Londonderry, L BT47 6DL, UK",4.4,7,NONE,10
Oakleaf Physio,physiotherapy,07894 249352,"14 Pennyburn Industrial Estate, Londonderry BT48 0LU, UK",5,4,NONE,10
Susan Spence Chartered Physiotherapists,physiotherapy,028 7131 1170,"21 Browning Dr, Londonderry BT47 6HN, UK",,0,NONE,10
Bodycare Injury Clinic - NI School of Massage,physiotherapy,028 7126 0324,"unit 5, Ballinska Business Park, 18 Balliniska Rd, Londonderry BT48 0NA, UK",4.9,8,NONE,10
RMC Sports Therapy,physiotherapy,07875 725663,"23 Ashbrook Ct, Drumahoe, Londonderry BT47 3FA, UK",5,2,NONE,10
Therapy House,physiotherapy,028 7134 7775,"81 Spencer Rd, Londonderry BT47 6AE, UK",5,2,NONE,10
Clarendon Chiropractic Clinic,chiropractor,028 7137 3822,"11 Clarendon St, Londonderry BT48 7EP, UK",3.8,11,NONE,10
The GUM Clinic,private,028 7161 1269,"Anderson House, Altnagelvin Area Hospital, Londonderry BT47 6SB, UK",3.5,6,NONE,10
Dr Podmore Clinic,private,,"2PX9+XW, Londonderry BT48, UK",3,2,NONE,10
Bayview Medical Practice,private,028 7137 7027,"Rath Mor Centre, Bligh's Lane, Londonderry BT48 0LZ, UK",3.4,5,NONE,10
Mekong,restaurant,028 7167 0133,"7-8 Magazine St, Londonderry BT48 6HJ, UK",4.8,331,https://www.facebook.com/MekongSF/,8
The Pickled Duck Cafe on the Quay,restaurant,028 7125 3198,"110-114 Strand Rd, Londonderry BT48 7NR, UK",4.1,62,NONE,10
The Old Docks Bar & Grill,restaurant,028 7130 9116,"24a Queens Quay, Londonderry BT48 7AS, UK",4.6,673,https://www.facebook.com/theolddocks/,8
The Coffee Tree,cafe,,"49 Strand Rd, Londonderry BT48 7BN, UK",4.9,283,https://www.facebook.com/462253977258517,8
The Scullery Cafe,cafe,028 7122 9081,"48 Waterloo St, Londonderry BT48 6HF, UK",4.6,579,NONE,10
The Naked Hen,cafe,,"Unit 1, Springtown Business Park, 141 Northland Rd, Londonderry BT48 0GY, UK",4.8,54,https://m.facebook.com/people/The-Naked-Hen-coffee-bar/100092858044133/,8
Rustic Coffee and Brunch,cafe,07856 598001,"16 Blucher St, Londonderry BT48 9DY, UK",4.9,38,NONE,10
Patricia's Coffee House,cafe,028 7137 0302,"Unit 1a, Atlantic Quay, 100-114 Strand Rd, Londonderry BT48 7NR, UK",4.7,397,NONE,10
The Cottage Craft Gallery and Coffee Shop,cafe,07783 882521,"Unit 21 The, Craft Village, Shipquay St, Londonderry BT48 6AR, UK",4.8,329,NONE,10
Rosta coffee bar,cafe,07845 556422,"Carlisle Rd, Londonderry BT48 6JW, UK",4.9,83,NONE,10
Jerusalem Bakery & Coffeehouse,cafe,,"45 Great James St, Londonderry BT48 7DF, UK",4.9,168,NONE,10
hang ten.brewbar,cafe,,"70 Strand Rd, Londonderry BT48 7AJ, UK",4.8,138,NONE,10
Cafe Central,cafe,,"7 Bishop Street Within, Londonderry BT48 6HL, UK",4.8,12,NONE,10
The Pickled Duck Cafe,cafe,028 7141 4014,"13a Greenhaw Rd, Londonderry BT48 7SA, UK",4.6,361,NONE,10
Jamm,cafe,028 7141 4041,"13 Shipquay St, Londonderry BT48 6DJ, UK",4.6,468,NONE,10
Guildhall Taphouse,pub,028 7136 4888,"4 Custom House St, Londonderry BT48 6AA, UK",4.4,677,https://m.facebook.com/Guildhalltaphouse/,8
Badgers Bar and Restaurant,pub,028 7136 3306,"18 Orchard St, Londonderry BT48 6EG, UK",4.6,1218,NONE,10
Peadar O'Donnell's,pub,028 7126 7295,"63 Waterloo St, Londonderry BT48 6HD, UK",4.7,2094,https://m.facebook.com/pg/Peadarsderry,8
Tracy's Bar,pub,028 7126 9700,"48 Waterloo Pl, Londonderry BT48 6HF, UK",4.5,409,NONE,10
Harry's Bar,pub,028 7116 3647,"4-6 Dungiven Rd, Londonderry BT47 6BW, UK",4.4,71,NONE,10
Number 8 The Townhouse Accommodation,hotel,07921 841820,"8 Artillery St, Londonderry BT48 6RG, UK",4.7,129,NONE,10
Fantastic Location to Ebrington Sq and City Centre,hotel,0333 666 6111,"17 Roulston Ave, Londonderry BT47 6EW, UK",,0,NONE,10
Charlotte House,hotel,028 7126 4229,"4 Northland Way, Londonderry BT48 7JX, UK",4,56,NONE,10
Xtreme Gym,gym,028 7134 5044,"2 Distillery Brae, Londonderry BT47 6AN, UK",4.8,35,NONE,10
Pro Gym,gym,028 7137 1223,"141B Strand Rd, Londonderry BT48 7PB, UK",4.8,25,NONE,10
Raw Fitness Derry Ltd,gym,07703 326018,"5, Londonderry BT48 0LU, UK",5,44,NONE,10
