name,category,phone,address,rating,reviews,website,score
P lynch Plumbing & heating,plumber,07790 864092,"193 Hatmore Park, Londonderry BT48 0AF, UK",4.7,15,NONE,10
DM Gas - plumbing - heating,plumber,07514 734229,"367 Carnhill, Londonderry BT48 8BS, UK",5,4,NONE,10
The Shower Doctor,plumber,07845 587908,"21 Ardlough Rd, Londonderry BT47 5SW, UK",5,8,NONE,10
GMC plumbing and heating ltd,plumber,07989 350136,"8 Lyndhurst Rd, Londonderry BT47 5HS, UK",3.7,9,NONE,10
all emergency plumbing,plumber,07955 050100,"28 Prehen Park, Londonderry BT47 2NY, UK",2.8,4,NONE,10
P T S Plumbing Trade Supplies,plumber,028 7130 6000,"40 Springtown Rd, Londonderry BT48 0LY, UK",3.4,9,NONE,10
Clearflow,plumber,07845 877493,"80 Strabane Old Rd, Londonderry BT47 2EG, UK",4.3,11,https://m.facebook.com/drainsderry/,8
TJ McConnell and Sons,plumber,028 7136 3539,"32 Balliniska Rd, Londonderry BT48 0NA, UK",,0,NONE,10
Mcquaid Electrical,electrician,07388 877368,"269 Carnhill, Londonderry BT48 8BL, UK",5,2,NONE,10
Derry Auto Electrics,electrician,028 7126 1100,"102 Duncreggan Rd, Londonderry BT48 0AA, UK",4.7,98,NONE,10
Horton Electrical Services Ltd,electrician,028 7130 8858,"1 Bay Road Business Park, Londonderry BT48 7SH, UK",5,5,NONE,10
Curran & Hepburn,electrician,07712 110048,"87 Spencer Rd, Londonderry BT47 6AE, UK",5,3,NONE,10
KS Electrical Services Ltd,electrician,028 7128 6777,"Business Park, Unit 7 Bay Rd, Londonderry BT48 7SE, UK",5,3,NONE,10
Harrison Electrical,electrician,028 7134 2539,"78 Duke St, Londonderry BT47 6DQ, UK",5,4,NONE,10
Nor-Den Electrical,electrician,028 7137 7210,"3 Springtown Rd, Londonderry BT48 0LY, UK",3,4,NONE,10
Brett Electrical,electrician,07706 820839,"65 Ivy Mead, Altnagelvin, Londonderry BT47 3WW, UK",5,3,NONE,10
Derry Electrics,electrician,07923 806636,"50 Elaghmore Prk, Londonderry BT48 8DX, UK",1,1,NONE,10
DL Electrical Services,electrician,07368 409085,"Beechwood Ave, Londonderry BT48 9LR, UK",,0,https://www.facebook.com/share/19oSDoqxVq/?mibextid=wwXIfr,8
Crumley Patrick,electrician,028 7131 2939,"18b Riverview Terrace, Londonderry BT47 2BL, UK",5,5,NONE,10
Strand Electrics,electrician,028 7126 5012,"Unit 19F Pennyburn Industrial Estate, Londonderry BT48 0LU, UK",4.9,57,NONE,10
PJM Power Electrical Contractor,electrician,07521 052569,"Ard Grange, Londonderry BT48 0SF, UK",,0,NONE,10
McCauley Auto Electrics,electrician,028 7135 1972,"64 Coney Rd, Londonderry BT48 8JP, UK",4.1,17,NONE,10
City Electrics Ireland Ltd,electrician,028 7135 3147,"19 Sandbank Cottages, Londonderry BT48 8LL, UK",,0,NONE,10
City Roofing Ltd,roofer,028 7126 9648,"3 Pennyburn Industrial Estate, Londonderry BT48 0LU, UK",5,3,NONE,10
Dgs roofing services,roofer,07928 033186,"67 Coney Rd, Londonderry BT48 8JN, UK",5,3,NONE,10
H Carlin Decorators,painter,028 7135 4489,"1 Griffith Park, Londonderry BT48 8PE, UK",4.8,4,NONE,10
Prime Decor,painter,,"7 Abbots Walk, Londonderry BT48 9HA, UK",5,1,NONE,10
Seamusmcclafferty,painter,07706 033987,"7 Ballymore Park, Londonderry BT48 9BP, UK",5,1,NONE,10
City Paints & Wallpapers,painter,028 7128 0088,"5/6 Springtown Business Park, Londonderry BT48 0GY, UK",4.7,217,NONE,10
Bell P J,painter,028 7135 1639,"2 Clonliffe Park, Londonderry BT48 8NT, UK",5,1,NONE,10
McCann Decor Ltd,painter,028 7135 2243,"59 Templeard, Ballynagard, Londonderry BT48 8FE, UK",5,1,NONE,10
Ruairi O'Hara Painting & Decorating,painter,07821 770842,"30 Columbia Park, Londonderry BT47 4PD, UK",5,1,NONE,10
Ray Mallett Painting & Decorating,painter,07925 771154,"437 Carnhill, Londonderry BT48 8BT, UK",,0,NONE,10
BMR DECORATORS,painter,07873 445963,"157 Gortin Manor, Newbuildings, Londonderry BT47 2TT, UK",4.5,2,NONE,10
Ec painters & decorators,painter,07873 673801,"30E McLean Rd, Campsie, Londonderry BT47 3XX, UK",,0,NONE,10
Derry Tiler,tiler,028 7137 3386,"24 Four Seasons, Foyle Road, Londonderry, Derry BT48 6AX, UK",,0,NONE,10
DMC Premier Tiling,tiler,07738 003899,"55 Lincoln Ct, Waterside, Londonderry BT47 5NT, UK",,0,NONE,10
RJB JOINERY,joiner,07591 887868,"Unit A1, Ballinska Business Park, Springtown Industrial Estate, Londonderry BT48 0LY, UK",5,1,NONE,10
Concept Carpentry &Joinery,joiner,07903 152202,"563 Carnhill, Londonderry BT48 8BZ, UK",5,4,NONE,10
AOK Joinery,joiner,07825 517616,"51 Foxhill, The Bolies, Londonderry BT47 2TN, UK",5,9,NONE,10
Aj joinery,joiner,,"82 Duncreggan Rd, Londonderry BT48 0AA, UK",,0,NONE,10
Ad Joinery,joiner,,"14 Ardanlee, Ballynagard, Londonderry BT48 8RR, UK",5,1,NONE,10
Joinery Workshop Services Ltd,joiner,07951 068053,"Site 30, Springtown Industrial Estate, Unit F Springrowth Rd, Londonderry BT48 0LY, UK",4,1,NONE,10
Darek furniture,joiner,07873 529748,"34 Ervey Ct, Londonderry BT47 3WN, UK",5,3,NONE,10
A L C Joinery,joiner,028 7134 1386,"59 Sevenoaks, Londonderry BT47 6BD, UK",,0,NONE,10
maybrooke renovations and extensions,joiner,07387 882775,"28 Petrie Way, Londonderry BT47 3XX, UK",5,3,NONE,10
Pavier Joinery,joiner,07818 866690,"Belvoir Park, Londonderry BT48 8PQ, UK",,0,NONE,10
KARA CONSTRUCTION,joiner,07597 752723,"85 Monnaboy Rd, Londonderry BT47 3HP, UK",5,2,NONE,10
North West Joinery Ltd,joiner,028 7135 5555,"5 Steelstown Rd, Londonderry BT48 8EU, UK",,0,NONE,10
Derry Garden Services,landscaper,07523 612005,"Londonderry BT47 6BB, UK",,0,NONE,10
Plant A Seed Landscapes,landscaper,07746 229281,"51a Cromore Gardens, Londonderry BT48 9TG, UK",,0,NONE,10
Falcon landscape building services,landscaper,,"Castle View Park, Londonderry BT48 8DL, UK",3.7,6,NONE,10
North Wesrt Garden Experts,landscaper,028 7135 8828,"47 Papworth Ave, Londonderry BT48 8PT, UK",2,4,NONE,10
Donohoe T,builder,028 7126 7244,"19-21 Chamberlain St, Londonderry BT48 6LR, UK",5,1,NONE,10
Doherty E & Sons,builder,028 7135 1655,"6 Fir Rd, Londonderry BT48 8NB, UK",5,2,NONE,10
Nicor Construction,builder,028 7188 0888,"Unit 11, Bay Road Industrial Park, Bay Rd, Londonderry BT48 7SE, UK",3.9,9,NONE,10
Lynch Builders,builder,028 7181 1385,"38 Coolagh Rd, Londonderry BT47 3EQ, UK",5,1,NONE,10
JFC Construction Ltd,builder,028 7181 1477,"8e Courtauld Way, Campsie, Londonderry BT47 3XX, UK",5,2,NONE,10
Meraki Hairdressing,hairdresser,028 7128 2386,"28 Carlisle Rd, Londonderry BT48 6JW, UK",5,26,NONE,10
Marie Gillespie Hair & Beauty Studio,hairdresser,028 7134 4284,"Unit 1 Woodburn Shopping Centre, 1, Waterside, Londonderry BT47 5PS, UK",4.7,43,NONE,10
Salon Sixteen,hairdresser,028 7131 2504,"16 Clooney Terrace, Londonderry BT47 6AR, UK",5,21,NONE,10
Salon One hairdressing,hairdresser,028 7126 2781,"17 The, Craft Village, Shipquay St, Londonderry BT48 6AR, UK",4.7,19,NONE,10
Whispers Hairdressing Salon,hairdresser,028 7126 0595,"16 The Diamond, Londonderry BT48 6HW, UK",4.7,11,NONE,10
Streaks Ahead,hairdresser,028 7128 8222,"21 William St, Londonderry BT48 6EP, UK",4.3,43,NONE,10
Sage Hair & Beauty,hairdresser,07596 590617,"98 Spencer Rd, Londonderry BT47 6AG, UK",4.7,14,NONE,10
Headz & Co,hairdresser,028 7134 8665,"15 Glendermott Rd, Londonderry BT47 6BB, UK",4.6,27,NONE,10
Michael Deery Hair,hairdresser,07498 688989,"6 Castle St, Londonderry BT48 6HQ, UK",4.7,12,NONE,10
Mavericks Hair Extensions & Beauty,hairdresser,028 7116 3266,"Room 1, Unit 18, Northside Village Centre, Glengalliagh Rd, Londonderry BT48 8NN, UK",5,100,NONE,10
Essential Hair Company,hairdresser,028 7126 2427,"8-10 Great James St, Londonderry BT48 7DB, UK",4.9,18,NONE,10
Brooke Hairdressing,hairdresser,028 7126 0003,"8 Castle St, Londonderry BT48 6HQ, UK",4.8,12,NONE,10
Gemini Hair Studio,hairdresser,028 7127 1122,"53 Carlisle Rd, Londonderry BT48 6JL, UK",5,3,NONE,10
