COMMAND     PID       USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
Google      646 philsagent   30u  IPv4 0xf2b02efe55b042cf      0t0  UDP 192.168.1.199:51231->172.64.146.215:443
Google      646 philsagent   34u  IPv6 0x47295d20a78554b6      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:59458->[2a06:98c1:3102::6812:2929]:443
Google      646 philsagent   37u  IPv6 0xaa583b51b53d1629      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:54440->[2a00:1450:4009:c04::5f]:443
Google      646 philsagent   38u  IPv6 0x18d3b274da42c428      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:64050->[2a00:1450:4009:c0b::5e]:443
Google      646 philsagent   40u  IPv6 0x978cfc32d9a100d4      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:64310->[2a06:98c1:52::3]:443
Google      646 philsagent   48u  IPv6 0x2ce37c33c02ef059      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:58670->[2a00:1450:4009:c08::5f]:443
Google      646 philsagent   50u  IPv6 0xbaa1a45a2c508e1a      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:52974->[2a00:1450:4009:c15::5f]:443
Google      646 philsagent   52u  IPv6 0x5614bd4033a502d7      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:60341->[2a00:1450:4009:c13::8b]:443
Google      646 philsagent   53u  IPv6 0x3d870322e4203917      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:58986->[2a00:1450:4009:c04::5f]:443
Google      646 philsagent   54u  IPv6 0x986117c801ba76cd      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:51453->[2a00:1450:4009:c13::5f]:443
Google      646 philsagent   55u  IPv6 0xf2cf3366c7cdf823      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:58276->[2a00:1450:4009:c08::5f]:443
Google      646 philsagent   58u  IPv6  0xc21cf0803092a8b      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:63506->[2001:4860:4860::8844]:443
Google      646 philsagent   59u  IPv6 0x538c286460a34749      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:56352->[2a00:1450:4009:c04::5e]:443
Google      646 philsagent   61u  IPv6 0x326dacabd36b84c0      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:60086->[2a00:1450:4009:c0b::5f]:443
Google      646 philsagent   64u  IPv4 0xc21010ae0a58bb70      0t0  UDP *:5353
Google      646 philsagent   65u  IPv6 0xdf6a9de7a4e71bd7      0t0  UDP *:5353
Google      646 philsagent   66u  IPv6 0xc2b77eb81491ffde      0t0  UDP *:5353
Google      646 philsagent   67u  IPv6 0x15af6d526793cc4e      0t0  UDP *:5353
Google      646 philsagent   68u  IPv6 0x9720da319c85b343      0t0  UDP *:5353
Google      646 philsagent   69u  IPv6 0x93011d8554ea236e      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:55660->[2a00:1450:4009:c08::64]:443
Google      646 philsagent   71u  IPv6 0x4302722d7cc58bf9      0t0  UDP *:5353
Google      646 philsagent   72u  IPv6  0x43bcaee070ce9ce      0t0  UDP *:5353
Google      646 philsagent   73u  IPv6 0x2bed97dce9768b9a      0t0  UDP *:5353
Google      646 philsagent   74u  IPv6 0x915754d250206c7e      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:52171->[2a00:1450:4009:c0f::5f]:443
Google      646 philsagent   76u  IPv6 0xdd7f220583544db3      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:49420->[2a00:1450:4009:c15::65]:443
Google      646 philsagent   77u  IPv6 0xf559638c31218c8d      0t0  UDP [2a00:23cc:eb45:3001:a459:94fa:c803:8f80]:55950->[2a00:1450:4009:c08::5f]:443
Google      646 philsagent  122u  IPv4 0xcde01ca1a7457982      0t0  UDP *:60170
Google      646 philsagent  124u  IPv6 0xcfd5a4fb7f557264      0t0  UDP *:52376
identitys   943 philsagent   10u  IPv4 0xb3514bce4d4494c9      0t0  UDP *:*
identitys   943 philsagent   18u  IPv4 0x1db5bc8740554596      0t0  UDP *:*
identitys   943 philsagent   23u  IPv4 0xb5c1daa81b9d1de1      0t0  UDP *:*
sharingd    992 philsagent    4u  IPv4 0x153b2aa6513ff643      0t0  UDP *:*
node      31545 philsagent   17u  IPv4 0x6006561a18fb512a      0t0  UDP *:5353
node      31545 philsagent   19u  IPv4 0xd44bbbe4c2e5f890      0t0  UDP *:5353
